
2025/06/09 (22:32:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/06/09 (22:43:00) | ===> btop++ v.1.4.0
2025/06/09 (22:43:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/06/17 (11:14:05) | ===> btop++ v.1.4.0
2025/06/17 (11:14:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/07/04 (13:17:22) | ===> btop++ v.1.4.0
2025/07/04 (13:17:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/07/07 (10:17:05) | ===> btop++ v.1.4.0
2025/07/07 (10:17:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/07/08 (15:02:57) | ===> btop++ v.1.4.0
2025/07/08 (15:02:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/07/09 (11:29:22) | ===> btop++ v.1.4.0
2025/07/09 (11:29:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/07/09 (11:39:24) | ===> btop++ v.1.4.0
2025/07/09 (11:39:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/07/09 (11:39:32) | WARNING: Failed to join _runner thread on exit!

2025/07/10 (13:37:56) | ===> btop++ v.1.4.0
2025/07/10 (13:37:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/07/10 (13:39:28) | ===> btop++ v.1.4.0
2025/07/10 (13:39:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/07/11 (09:01:08) | ===> btop++ v.1.4.0
2025/07/11 (09:01:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/07/11 (09:04:51) | ===> btop++ v.1.4.0
2025/07/11 (09:04:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/07/17 (09:03:45) | ===> btop++ v.1.4.0
2025/07/17 (09:03:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/11 (13:46:11) | ===> btop++ v.1.4.0
2025/08/11 (13:46:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
